arith.divider_active, 0x114
offcore_response.demand_code_rd.l3_hit_s.spl_hit_1, 0x1bb, 0x40100004
offcore_response.demand_code_rd.l3_miss.any_snoop_0, 0x1b7, 0x3ffc400004
offcore_response.demand_code_rd.l3_miss.any_snoop_1, 0x1bb, 0x3ffc400004
offcore_response.demand_code_rd.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c400004
offcore_response.demand_code_rd.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c400004
offcore_response.demand_code_rd.l3_miss.snoop_hitm_0, 0x1b7, 0x103c400004
offcore_response.demand_code_rd.l3_miss.snoop_hitm_1, 0x1bb, 0x103c400004
offcore_response.demand_code_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c400004
offcore_response.demand_code_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c400004
offcore_response.demand_code_rd.l3_miss.snoop_non_dram_0, 0x1b7, 0x203c400004
offcore_response.demand_code_rd.l3_miss.snoop_non_dram_1, 0x1bb, 0x203c400004
offcore_response.demand_code_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc400004
offcore_response.demand_code_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc400004
offcore_response.demand_code_rd.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c400004
offcore_response.demand_code_rd.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c400004
offcore_response.demand_code_rd.l3_miss.spl_hit_0, 0x1b7, 0x7c400004
offcore_response.demand_code_rd.l3_miss.spl_hit_1, 0x1bb, 0x7c400004
offcore_response.demand_code_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3fc4000004
offcore_response.demand_code_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3fc4000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000004
offcore_response.demand_code_rd.l3_miss_local_dram.spl_hit_0, 0x1b7, 0x44000004
offcore_response.demand_code_rd.l3_miss_local_dram.spl_hit_1, 0x1bb, 0x44000004
offcore_response.demand_code_rd.l4_hit_local_l4.any_snoop_0, 0x1b7, 0x3fc0400004
offcore_response.demand_code_rd.l4_hit_local_l4.any_snoop_1, 0x1bb, 0x3fc0400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_hit_no_fwd_0, 0x1b7, 0x400400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_hit_no_fwd_1, 0x1bb, 0x400400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_hitm_0, 0x1b7, 0x1000400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_hitm_1, 0x1bb, 0x1000400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_miss_0, 0x1b7, 0x200400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_miss_1, 0x1bb, 0x200400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_non_dram_0, 0x1b7, 0x2000400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_non_dram_1, 0x1bb, 0x2000400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_none_0, 0x1b7, 0x80400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_none_1, 0x1bb, 0x80400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_not_needed_0, 0x1b7, 0x100400004
offcore_response.demand_code_rd.l4_hit_local_l4.snoop_not_needed_1, 0x1bb, 0x100400004
offcore_response.demand_code_rd.l4_hit_local_l4.spl_hit_0, 0x1b7, 0x40400004
offcore_response.demand_code_rd.l4_hit_local_l4.spl_hit_1, 0x1bb, 0x40400004
offcore_response.demand_code_rd.supplier_none.any_snoop_0, 0x1b7, 0x3fc0020004
offcore_response.demand_code_rd.supplier_none.any_snoop_1, 0x1bb, 0x3fc0020004
offcore_response.demand_code_rd.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020004
offcore_response.demand_code_rd.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020004
offcore_response.demand_code_rd.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020004
offcore_response.demand_code_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020004
offcore_response.demand_code_rd.supplier_none.snoop_miss_0, 0x1b7, 0x200020004
offcore_response.demand_code_rd.supplier_none.snoop_miss_1, 0x1bb, 0x200020004
offcore_response.demand_code_rd.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020004
offcore_response.demand_code_rd.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020004
offcore_response.demand_code_rd.supplier_none.snoop_none_0, 0x1b7, 0x80020004
offcore_response.demand_code_rd.supplier_none.snoop_none_1, 0x1bb, 0x80020004
offcore_response.demand_code_rd.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020004
offcore_response.demand_code_rd.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020004
offcore_response.demand_code_rd.supplier_none.spl_hit_0, 0x1b7, 0x40020004
offcore_response.demand_code_rd.supplier_none.spl_hit_1, 0x1bb, 0x40020004
offcore_response.demand_data_rd.any_response_0, 0x1b7, 0x10001
offcore_response.demand_data_rd.any_response_1, 0x1bb, 0x10001
offcore_response.demand_data_rd.l3_hit.any_snoop_0, 0x1b7, 0x3fc01c0001
offcore_response.demand_data_rd.l3_hit.any_snoop_1, 0x1bb, 0x3fc01c0001
offcore_response.demand_data_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4001c0001
offcore_response.demand_data_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4001c0001
offcore_response.demand_data_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10001c0001
offcore_response.demand_data_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10001c0001
offcore_response.demand_data_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2001c0001
offcore_response.demand_data_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2001c0001
offcore_response.demand_data_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20001c0001
offcore_response.demand_data_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20001c0001
offcore_response.demand_data_rd.l3_hit.snoop_none_0, 0x1b7, 0x801c0001
offcore_response.demand_data_rd.l3_hit.snoop_none_1, 0x1bb, 0x801c0001
offcore_response.demand_data_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1001c0001
offcore_response.demand_data_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1001c0001
offcore_response.demand_data_rd.l3_hit.spl_hit_0, 0x1b7, 0x401c0001
offcore_response.demand_data_rd.l3_hit.spl_hit_1, 0x1bb, 0x401c0001
