OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_NO_FWD, 0x1b7
OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD, 0x1b7
OCR.DEMAND_RFO.ANY_RESPONSE, 0x1b7
OCR.DEMAND_RFO.L3_HIT, 0x1b7
OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM, 0x1b7
OCR.DEMAND_RFO.L3_HIT.SNOOP_HIT_NO_FWD, 0x1b7
OCR.DEMAND_RFO.L3_HIT.SNOOP_HIT_WITH_FWD, 0x1b7
OCR.SWPF_RD.ANY_RESPONSE, 0x1b7
OCR.SWPF_RD.L3_HIT, 0x1b7
OCR.SWPF_RD.L3_HIT.SNOOP_HITM, 0x1b7
OCR.SWPF_RD.L3_HIT.SNOOP_HIT_NO_FWD, 0x1b7
OCR.SWPF_RD.L3_HIT.SNOOP_HIT_WITH_FWD, 0x1b7
OFFCORE_REQUESTS.ALL_REQUESTS, 0x8021
OFFCORE_REQUESTS.DATA_RD, 0x821
OFFCORE_REQUESTS.DEMAND_CODE_RD, 0x221
OFFCORE_REQUESTS.DEMAND_DATA_RD, 0x121
OFFCORE_REQUESTS.DEMAND_RFO, 0x421
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD, 0x820
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD, 0x820
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_CODE_RD, 0x220
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD, 0x120
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO, 0x420
OFFCORE_REQUESTS_OUTSTANDING.DATA_RD, 0x820
