umc_mem_clk, 0x0
remote_socket_outbound_data_beats_cfi_5, 0xbff5e
remote_socket_outbound_data_beats_cfi_6, 0xbff9e
remote_socket_outbound_data_beats_cfi_7, 0xbffde
remote_socket_outbound_data_beats_cfi_8, 0xbff1f
remote_socket_outbound_data_beats_cfi_9, 0xbff5f
remote_socket_outbound_data_beats_cfi_10, 0xbff9f
remote_socket_outbound_data_beats_cfi_11, 0xbffdf
remote_socket_outbound_data_beats_cfi_12, 0xbff1f
remote_socket_outbound_data_beats_cfi_13, 0xbff5f
remote_socket_outbound_data_beats_cfi_14, 0xbff9f
remote_socket_outbound_data_beats_cfi_15, 0xbffdf
local_or_remote_socket_inbound_data_beats_cfi_0, 0xffe1e
local_or_remote_socket_inbound_data_beats_cfi_1, 0xffe5e
local_or_remote_socket_inbound_data_beats_cfi_2, 0xffe9e
local_or_remote_socket_inbound_data_beats_cfi_3, 0xffede
